,Review_Page_Number,Ratings,Title,Posting_Date,Used_For,Review_Body,Whether_Recommended
24,1236,5,Quick and easy.,2020-12-11 16:26:00,1 month,Ordered late Thursday night and delivered Friday before noon.,1
25,1236,5,Great,2021-01-22 16:28:00,3 weeks,Purchase process was quick and simply.  These are great.,1
26,1236,5,good for work,2020-12-11 15:38:00,1 week,work as promised and perfect for working with and phone calls,1
27,1236,5,Airpods,2021-01-22 15:44:00,1 month,These are perfect for digital learning for our daughter.,1
28,1236,5,Bass God,2020-06-27 00:29:00,1 week,"Overall awesome , apple never lets me down , bought me and my gf a pair of pods",1
29,1236,5,GREAT PRODUCT!!!,2019-09-27 17:14:00,2 weeks,"SO FAR THIS PURCHASE HAS BEEN GREAT TO USE AND LOVE THAT FACT THAT THIS PRODUCT IS WIRELESS, PERFECT!!!",1
30,1236,5,I brought for my sister,2020-07-26 17:10:00,2 weeks,I got these for my sister for her birthday and she loves them as well thanks,1
31,1236,5,great!,2020-10-28 12:31:00,6 months,Works great!  Small compact.  Talk time is short but charges fast.,1
32,1236,5,Excellent,2020-01-03 21:22:00,1 month,These AirPods are excellent. My wife loves being able to listen to music whenever she wants to.,1
33,1236,5,Exactly what I was looking for.,2020-06-26 16:04:00,6 months,"Wonderful product, purchased as a Christmas gift for my Teen!  Ge loves them!!!",1
34,1236,5,good buy,2020-11-23 23:47:00,4 months,gifted them to a friend and she loves using them on daily basis,1
35,1236,5,DEF RECOMMEND IT!!,2020-10-28 10:46:00,1 month,I love this product because Its very coinvent. i use it everyday!!,1
36,1236,5,Best headphones for cardio,2019-12-22 23:15:00,1 month,I love my AirPods more than my wireless beats because they are so light weight to work out with!,1
37,1236,5,Nice,2020-12-19 20:33:00,less than 1 week,I love this store it's the best thing that ever could happen,0
38,1236,5,AirPods - good for gym use,2020-01-03 18:44:00,1 month,Needed comfortable wireless EarPods for gym workouts - these work great!  Easy to pair and use.,1
39,1236,5,Great Product Overall,2020-10-10 00:39:00,Not Available,"Excellent product, Looks New, Works Great. I recommend this product.",1
40,1037,5,AirPods,2020-12-20 09:15:00,1 year,This product works amazing. I would definitely recommend this to others to buy,1
41,1037,5,Cyndie Chart Air Pod review,2020-12-12 07:46:00,1 month,I bought these for my son and he loves them.  They synced with all his devices.,1
42,1037,5,Good quality,2021-01-12 23:20:00,1 month,"Great sound, there is a real improvement compared with the previous version",1
43,1037,5,AirPods,2020-12-20 06:26:00,1 month,Wonderful set of AirPods I will be giving these as a Christmas gift this year.,1
44,1037,5,Perfect Fit,2020-07-18 08:08:00,3 weeks,Of course most people know all the details but how they pair so easily with the phones are great,1
45,1037,5,Love it,2020-09-28 00:43:00,1 year,"Really enjoy this AirPods, they are the best and for the price can’t beat Apple products",1
46,1037,5,Good product,2020-10-23 17:01:00,Not Available,They are a good product. On my 3rd pair just seems as if they have a short life span.,1
47,1037,5,Apple. What more do you need to know.,2020-08-14 16:56:00,7 months,These are great. Apple makes great stuff.  You pay for it but it’s worth it. Quality product.,1
48,1037,5,great!,2020-10-23 15:51:00,3 months,have been wanting these for a while. glad I finally made the purchase. well worth it.,1
49,1037,5,Apple airpod,2021-01-28 07:22:00,1 year,Excellent to use with your iphone.  Use often when running and traveling.,1
50,1037,5,Power in my ear!,2021-02-20 01:07:00,Not Available,"Love my headphones, literally go everywhere with me, highly recommend!",1
51,1037,5,AirPods,2021-06-26 10:23:00,Not Available,Awesome. I love them!!! I would definitely recommend,1
52,1037,5,"Great Product,  Purchased three sets.",2020-06-19 19:46:00,1 month,"My Bride loved this product and it's performance, so we bought a set for both of our grandchildren.",1
53,1037,5,Excellent product.,2021-01-28 03:20:00,1 month,Great ear buds. I have purchased several pair for the family. Love these.,1
54,1037,5,Awesome!,2020-06-19 16:19:00,2 weeks,Delighted to be using AirPods - much better compared to other wireless earphone I was using earlier,1
55,1037,5,Great product,2020-12-19 21:26:00,3 weeks,Very comfortable and convenient. And it does work with Android phones as well.,1
56,1037,5,My daughter loves them,2020-01-28 13:06:00,3 weeks,Awesome gift idea for anti-social teens :-/ She talks to us even less now!,1
57,1037,5,AirPods,2020-10-23 08:06:00,3 months,"Excellent quality, not as good as the new noise cancelling but still a great product.",1
58,1037,5,Great Accessory,2019-12-27 18:06:00,3 weeks,"I didn’t know if I would use AirPods, but they truly are an excellent accessory for my iPhone and have good quality.",1
59,1037,5,Excellent product!,2019-12-27 17:35:00,1 month,"It is the kind of product that really makes a difference in my daily activities.
I am very happy with this purchase.",1
60,280,5,Pods,2023-01-13 17:59:00,3 weeks,My daughter lost her pros and I replaced them with these.... She really loves them,1
61,280,5,Fast Service,2023-01-23 16:23:00,1 week,We received the item fast and the work perfectly and the airpods are amazing,1
62,280,5,Really great christmas gift,2022-11-19 14:56:00,1 week,I got my girlfriends sister this as a christmas gift and she loves apple products! She’ll be excited to see these!,1
63,280,5,Apple AirPods 2,2021-11-23 04:48:00,3 weeks,"Apple AirPods Works Great, my daughter is happy with them. I purchased these before, but the older pair started to lose charge relatively quick, but they were purchased a few years ago. I have the wireless charging ones which I purchased a few years ago and they are still working well.",1
64,280,5,Needed new iPod,2023-01-04 18:33:00,1 month,The wife bought this for me for Christmas. It’s great for listening to music on my iPad,1
65,280,5,Great quality,2022-05-20 22:12:00,4 months,"First time with these wireless headphones. They are really handy, not sure why ive gone so long without them. Easily connects to my device via the magic of bluetooth. I use them very often and very satisfied.",1
66,280,5,Nurseb,2022-12-30 15:58:00,1 month,I bought these as a gift to myself. I have been wanting a pair for a while now. Love them.,1
67,280,5,Apple,2023-02-03 16:16:00,2 months,Got them for wife and she loves them. I have odd ears. No work for me,1
68,280,5,AirPods,2023-02-03 16:14:00,1 month,If you want AirPods these will do the trick for cheaper than the pros,1
69,280,5,AirPods 2nd generation,2023-02-03 15:40:00,1 month,Works perfectly nothing is wrong with them comfortable and everything,1
70,280,5,Son loves them,2023-02-08 12:18:00,1 month,Got these for my son and he wear theem all tje tome and loves them,1
71,280,5,airpods gen 2,2023-01-06 04:37:00,Not Available,got for a xmas gift and bf is always using them. i have my own and i also use daily !!,1
72,280,5,Great,2023-02-06 17:10:00,1 month,I enjoy these type of airpids best. They fit comfortably in my ears,1
73,280,5,Its airpods,2021-04-12 00:47:00,8 months,"You already know about airpods. It sounds like earpods with no wires. I was using this with my android samsung phone. You need to connect it to an apple prodect to upgrade it but once you done it works great on android.
Problems i get is dropped signals. But its only when im in a weird area i think they have weird signal messing my the connections but it works fine.",1
74,280,5,Love these!,2020-06-17 19:05:00,3 weeks,"I was never attracted to these originally  as they are just too trendy for me. However, I listen to audiobooks and podcasts a lot. I wanted earbuds that were decent for also making phone calls. I liked that I could use only one if I needed too. I love the quality of Apple products and was attracted to the idea that it would pair seamlessly with my devices. I am so surprised at how much I like these. If they got lost, I would replace them in a heartbeat.",1
75,280,5,2ndChances,2021-01-01 16:29:00,1 month,"Great service....the 2nd time around! My first visit, to get assistance on AirPods, didn’t go as planned. My appt time was very close to the store closing time, so the employee was “helping” was more interested in getting off than in their customer service. Thankfully the 2nd visit went much smoother and the employees on duty at that time were much more helpful. I made sure to get in there early!!",1
76,280,5,Apple-AirPods with Charging Case (2nd generation),2022-10-05 08:31:00,1.5 years,My niece loves these Air Pods. She said that she can hear everything very clearly and the caller doesn't hear any of her background noise.,1
77,280,5,Worked as expected,2023-01-10 10:36:00,1 month,Did everything i wanted it to. I use them at work and have yet you have any issues.,1
78,280,5,Christmas Gift,2023-02-04 08:02:00,1 year,I brought them for my sons as a Christmas gift. They were so excited,1
79,280,5,Apple airpods,2022-12-31 01:41:00,1 month,"I love these airpods. They are sleek, comfortable, and work flawless. Thos is my 5th pair",1
80,2311,5,Yay!,2020-10-16 22:39:00,1 month,Audio is crisp and clean.  Easy to use and set up.,1
81,2311,5,Great soubd,2020-06-26 18:08:00,3 weeks,Great sound and quality! Easy to use! Would highly recommend!,1
82,2311,5,Great sound,2019-08-23 20:43:00,2 weeks,"This item is a very good value. Good sound, good fit, good size and good battery life.",1
83,2311,5,Long lasting battery and great music quality,2019-09-06 16:38:00,1 month,"Amazing product, material feels and looks durable for the price, a lil pricey though.",1
84,2311,5,Ear piece,2020-01-16 06:50:00,2 months,Very comfortable and easy to use. Sound is clear making and receiving calls,1
85,2311,5,Oldie but goodie!,2022-08-13 19:57:00,1.5 years,"Love them! Use them every day, I have 2 pairs so 1 is at home and the other I travel with! Great sound quality!",1
86,2311,5,Son loves them,2020-07-17 17:48:00,6 months,Great sound and love the storage case to protect and charge,1
87,2311,5,Great AirPods,2022-10-19 20:48:00,1.5 years,Love these pods! Easy to insert & great sound! They stay charged for a long time!,1
88,2311,5,Great sound,2020-05-01 17:20:00,5 months,Fast charging with great sound. Would recommend these for everyone,1
89,2311,5,Great Product,2020-01-15 11:07:00,1 month,"Purchased for 13 yr. old 
Easy to use, no wires, great sound
Great product!",1
90,2311,5,Very comfortable,2020-05-23 17:32:00,1 month,Great price for a great item . Very economical and easy to use .,1
91,2311,5,Great!,2020-09-06 09:01:00,1 month,"Sound is very good, they stay charged for a long time.",1
92,2311,5,Best ear buds,2020-09-25 22:01:00,3 weeks,Great sound and compact. Great battery life. Durable,1
93,2311,5,Air pods,2022-12-02 17:11:00,3 weeks,My son loved these he is 14 and it was a great birthday gift,1
94,2311,5,Great buy,2020-01-13 17:15:00,1 month,"I bought these airpods for my son for Christmas.  For a long time I didn't wanted to spend  high dollar for headphones  which don't even like the design... And now I gave up, and do not regret it. 
Besides that my son is happy.  He wears them even in bed . They are so light and comfortable that he forgets he is having them. 
The quality of the sound and overall is fantastic !",1
95,2311,5,Air pods sound great,2022-10-15 06:37:00,3 weeks,"What can I say Apple does a great job with their products - great fit, great sound.",1
96,2311,5,Apple of your ear,2022-11-05 15:52:00,3 weeks,Works just as advertised.  Compact with great sound and noise cancelling.,1
97,2311,4,First time with Airpods a winner,2020-02-15 09:45:00,1 month,"They are easy to use and have great sound quality. 

Work great in the car. Much better sound quality than the Booth Tooth. 

Apple needs to come up with a better carrying case.",1
98,2311,5,Best bank for your buck!,2020-11-13 15:46:00,1 month,"We love love Apple products, my husband and I had these AirPods when we got the AirPod Pros we passed them down to our older sons, so when I ordered my daughter an iPad for her birthday these were a must!!! They fit their teenage ears better and are a fantastic affordable option over Beats and Pros in my opinion!",1
99,2311,5,Great and very convenient!,2019-10-28 12:28:00,1 month,"These are perfect because they're convenient, super easy to use, and sound great!",1
100,1028,5,They are great!!!,2019-09-27 16:28:00,3 weeks,They worked great and my daughter loved them for the entire 6 days she had them before they were stolen from her school bag..,1
101,1028,5,Pods,2021-06-18 19:03:00,1 month,Great product and great place. Great customer service!,1
102,1028,5,Works well,2021-05-22 23:39:00,7 months,Worked well out of the box on my iPhone 7. Connects easily,1
103,1028,5,Quoality,2019-12-28 10:33:00,1 month,"It is really worth the money to buy airpods versus the cheap ones you can find out there, huge difference in quality.",1
104,1028,5,AirPods,2020-05-31 12:13:00,1 month,These AirPods were a gift to our grandson.  He just loves them!  I may want a pair myself!!  Thank you,1
105,1028,5,Apple pods good,2021-01-27 09:55:00,1 month,I love to use them use them  every day at work and they are easy to set up,1
106,1028,5,works great,2020-04-12 02:07:00,1 month,can't imagine my life without my AirPods now. May upgrade to the newer model too because these are amazing.,1
107,1028,5,Great,2021-01-19 16:25:00,1 month,Bought them for my daughter she loves them! Especially the wireless charger,1
108,1028,5,Favorite,2021-06-18 16:27:00,1 month,Love the ear Buds the are the best in ever had in life,1
109,1028,5,Great,2019-08-09 16:23:00,1 month,I recommend these for anyone who uses headphones my whole family has them of course except for me (mom) cause someone has to hear,1
110,1028,5,Airpods,2021-06-11 23:36:00,1 month,great product i have ever tries from apple product list,1
111,1028,5,Very nice,2021-01-03 23:09:00,1 month,My wife is loving them. Great product. Best Buy pickup service was excellent.,1
112,1028,5,AirPods,2021-03-05 20:30:00,Not Available,These AirPods are much more comfortable than the wired Apple earbuds.,1
113,1028,5,LOVE my AirPods!,2020-05-01 16:07:00,2 months,"Getting AirPods has been a game changer. I love that I can wear these while cleaning, going on walks etc.",1
114,1028,5,Love these so much,2019-11-24 02:25:00,less than 1 week,Second time I buy it and I’m so I. Love with this I know they are not the news ones but they do the job and ways to use.,1
115,1028,5,Excellent,2020-08-22 15:07:00,3 months,"As advertised, easy setup, voice commands, etc.

It’s one of those set it and forget it deals",1
116,1028,5,Airpods 2,2021-06-11 17:40:00,1 month,the good ones airpods them have a good values right now,1
117,1028,5,Great earpod,2021-04-24 22:53:00,4 months,"Great for everyday use, I use it everyday at work and pleasure",1
118,1028,5,good ear buds,2021-04-03 14:50:00,7 months,I bought these for my teen.  He loved them and uses them all day.,1
119,1028,5,Great for all tiny Ear sizes,2020-10-30 15:59:00,Not Available,Love this product. Doesn’t irritate my ears. I have Tiny ears and they fit perfectly.,1
120,2332,5,Great sound,2022-10-14 19:43:00,1 month,Great sound. My daughter uses them for online classes. She’s happy with them.,1
121,2332,5,Happiest,2023-08-05 22:40:00,Not Available,I really love my ear pods makes me very happy thank you,1
122,2332,5,Great,2022-12-05 08:21:00,2 weeks,Great gift for my son. Hopefully he doesnt lose them.,1
123,2332,5,Great music,2019-09-28 19:45:00,1 month,Love this product! Easy to carry. Easy to use. Easy to set up. Sound is great,1
124,2332,5,Great headphones,2020-03-27 15:57:00,1 month,"Excellent product, comfortable and easy to use.  Great price !!",1
125,2332,5,Good sound!,2020-05-01 20:19:00,3 weeks,These earbuds are great and work well. They are easy to use.,1
126,2332,5,Perfect Valentines Day present.,2021-03-05 21:39:00,3 weeks,"Bought them for my wife as a Valentine’s Day present.  She let me listen with them once.  They were fantastic.   Of course  I haven’t had the chance to use them since.   She’s always using them.  Either for yourself or someone else, they make a great gift.  Highly recommend.",1
127,2332,5,Great sound,2020-02-19 18:29:00,1 week,Easy to use great sound very compact lightweight. I like the color,1
128,2332,5,New Airpods User,2019-04-19 15:58:00,Not Available,"I've been using these for about two weeks. I haven't used anything comparable. All my other Bluetooth headphones are large over-the-ear variety. The sound quality on the airpods isn't nearly as good as the OTE kind, but they are good enough for everyday use. These things fit in your ear and don't fall out, which is great for exercise. Pairing to my iPhone and iPad was easy. And the charging case is great.",1
129,2332,5,Airpods,2020-03-14 21:05:00,1 month,Great and easy to use. Great for the price. I use them everyday.,1
130,2332,5,Amazing,2022-07-30 05:32:00,3 weeks,So far amazing. The battery life is really good as I’ve never ran them down and use them a lot. Would be again,1
131,2332,5,Great airpods for apple users,2019-09-06 15:35:00,3 weeks,"AirPods work great, love the battery life with the case, I don’t use them all that much at a given time so they are always charged up from the case whenever I need them. I just charge them in the case every week or so. Especially if you use multiple apple products (I.e iPhone and a MacBook or iPad) there is no matching AirPods since they move from one device to another so seamlessly!",1
132,2332,5,Accidents happen,2020-12-08 00:31:00,7 months,"I love my AirPods!! I accidentally forgot them in my pocket and washed this in the washer. As I was putting my clothes in the dryer, I found my AirPods. My heart immediately sank. I rushed them into a bowl of dry rice and let them sit overnight. I charged them the next day and THEY STILL WORKED.",1
133,2332,5,Love these,2022-09-05 19:57:00,more than 2 years,Awesome headphones I’m so glad u bought this   It makes my life a lot easier without the cords,1
134,2332,4,Work as expected,2023-01-28 13:50:00,2 weeks,My daughter got a pair and the left ear piece wouldnt charge. Best buy exchanged them and the new one work great.,1
135,2332,5,Seamless experience,2020-03-25 14:23:00,Not Available,Excellent user and sound experience with all of Apple products.,1
136,2332,5,Awesome earphone,2020-05-22 17:41:00,1 month,I like the quality sound. Also easy to use and convenient.,1
137,2332,5,Perfect sound.,2020-01-10 15:57:00,1 month,Great product for the price.  I didn't know that iPods sound so good.,1
138,2332,4,My son likes them,2019-06-28 19:22:00,3 weeks,Sound is good.  Battery life is good.  My son like them.  He has not lost them yet.  :)  He lost two pair of cheaper wireless ear buds.  The difference is he paid for these with his own money.,1
139,2332,4,Great gift,2020-03-06 15:35:00,3 weeks,Very affordable and great as a birthday gift. My nephew loved it. It was very easy to connect to his iPhone and iPad. Small enough for him to put in his jeans pocket.,1
140,3358,5,Very Goood,2019-07-18 18:59:00,2 weeks,Lovely its great earbuds great sound great quality,1
141,3358,5,Great sound !,2019-07-17 19:48:00,2 weeks,"Little brother LOVED his gift, thank you Best Buy.",1
142,3358,5,Love these headphones!,2019-07-17 18:37:00,3 weeks,Easy hands free use and the sound quality is great,1
143,3358,5,Great and easy to use,2019-07-17 18:04:00,Not Available,Great product! Will buy again. Great for beginners,1
144,3358,5,Good earphones,2019-04-19 20:10:00,Not Available,"Easy to pair, sound is good enough. A little over price",1
145,3358,4,Great wireless option,2020-07-19 20:02:00,1 month,The airpods have a good sound quality and easily sync with my devices.  The noise canceling feature is a plus.,1
146,3358,4,Love them if I can keep up with them.,2020-07-10 16:37:00,3 weeks,Good sound but not great bass.  They often must be readjusted in the ear to get full sound.  Good for workouts.,1
147,3358,4,AirPods,2020-11-20 15:38:00,1 month,I like all the options that the AirPods Vado plus much more. The sound quality is so good also.,1
148,3358,5,Great airpods,2019-06-07 16:29:00,Not Available,Bought them as a gift for someone and he loves them.,1
149,3358,5,Great sound,2019-05-03 17:41:00,Not Available,This was my first set of AirPods I highly recommend it,1
150,3358,5,Great Airpods,2019-06-05 16:13:00,Not Available,Good sound quality easy and convenient light weight.,1
151,3358,5,Great!!,2019-06-22 13:34:00,3 weeks,Awesome product! Very convenient and easy to use!!!,1
152,3358,5,AirPods,2019-07-08 19:55:00,3 weeks,These headphones are definitely worth the price...,1
153,3358,5,Great earbuds,2019-05-17 15:47:00,Not Available,Works as expected. Better than expected battery life.,1
154,3358,5,Great for anyone,2019-04-29 22:22:00,Not Available,Bought as a gift and the person absolutely loved them.,1
155,3358,5,Love them!,2019-07-08 01:17:00,Not Available,Definitely worth the money! Would buy them again!!,1
156,3358,5,very good,2019-06-20 08:56:00,1 month,"love it very good sound, very easy to sync, love it",1
157,3358,5,Great gift,2019-06-20 06:43:00,1 month,Makes an awesome gift for any one with apple phones,1
158,3358,5,Great product,2019-06-19 22:42:00,1 month,I love the AirPods so convenient and so easy to use,1
159,3358,4,Great sound,2020-06-26 20:15:00,2 weeks,They were great!! Just didn’t fit my ears real good so I returned them with out any issues for the AirPod pros!!,1
160,2483,5,Excellent,2022-03-25 21:47:00,7 months,Best ear buds on the market. Very comfortable and easy to use. Better than my Beats.,1
161,2483,5,Great product! Don’t regret the purchase,2020-10-12 16:07:00,5 months,"The AirPods have a great charging and use time period. Really easy to connect and a great product to have overall. Couldn’t decide if I should buy some or not, and now that I have them I’m glad I did",1
162,2483,4,Apple ipod,2020-12-04 16:49:00,Not Available,Good sound quality and easy to use. Will recommend for othera.,1
163,2483,5,Improvement over Gen 1,2020-09-05 20:56:00,1 month,"The Apple - AirPods with Charging Case (Latest Model) - White are a nice improvement over the original AirPods, as they provide more notifications. The sound quality is good, as well as the design is good!",1
164,2483,5,Awesome headphones,2022-07-15 17:50:00,1 month,"Great headphones, fit very well.  Sound is awesome",1
165,2483,4,Mr.,2023-01-04 08:51:00,1.5 years,This product is really good. The price was really reasonable.,1
166,2483,5,AirPods are great,2021-01-23 11:27:00,1 year,"These AirPods are really sweet, and they work great on phone calls.
They really make a difference on phone calls for people with hearing trouble.  The sound is also great for music.",1
167,2483,4,Good,2020-12-11 20:35:00,1 year,"Case charges good I love my apple air pods,  good price also.",1
168,2483,5,Excellent Airpods,2019-10-04 17:01:00,1 month,"Great quality sound. I can wear it all day w/o amy discomfort and sometimes I even forgot that I’m wearing it. Excellent AirPod. Highly recommended. I loved it. This is my 3rd pairs, gave one to my daughter & One for my sister & they both loved it too.",1
169,2483,5,Cesar Applebud!.,2020-12-25 15:13:00,2 weeks,"Excellent, earbuds! For music, for phone calls and so great about it comes with a carrying case that charges your device when you are not using it! Will recommend it 100%
Thanks bestbuy!",1
170,2483,5,Great,2022-03-03 13:38:00,8 months,They are great for sound just hard to keepbtrack of. Butbthe kids love them for road trips,1
171,2483,5,Great sound!,2020-08-22 03:57:00,1 month,Great product! The AirPods are easy to pair with your other apple products. I like to use one at a time. When that one looses its charge I will pop in the other one. They can quickly re-charge from the case.,1
172,2483,5,A Smart Choice,2021-08-13 16:30:00,3 weeks,It was a great gift for my mom who is 75 yrs old. Makes it easy for her to hear better using the AirPods when she’s conversing on the phone.,1
173,2483,5,Perfect way to work and listen to music,2019-10-11 16:38:00,Not Available,"When the AirPods came out I wasn't too sure how I would like them, but now that I have a pair I love them. They fit perfectly they don't fet in the way, when I'm at the gym it's way easier to manage. They can get misplace faster, but I love love them.",1
174,2483,5,Earphones,2021-02-17 05:52:00,8 months,I was tired of hooking the wires on everything and choking myself. So I made the switch to these earphones and love them. They keep a good charge and have been very consistent.,1
175,2483,5,Perfect for Apple users,2019-09-06 21:43:00,3 weeks,I use them as work headphones. I also have an iPhone and Apple Watch. All together they work amazing. Without the watch it’s not as good but still pretty nice with a few touch controls. Overall like a 95 from me battery life is ok and it charges quick too,1
176,2483,5,AirPods,2023-06-13 17:27:00,Not Available,The pick up service was great and they work great.,1
177,2483,4,Pods,2020-09-29 09:23:00,3 months,They are great sound good they stayed charged for a 9 hour train ride,1
178,2483,4,Apple - AirPods with Charging Case - Awesome,2020-09-18 16:16:00,1 month,Latest Apple airpods are great and convenient to use with great sound.,1
179,2483,5,Good purchase,2022-05-07 11:36:00,3 months,"very good quality and excellent price, perfect love them, good purchase",1
180,2102,4,Just a mom,2020-11-13 22:33:00,1 month,First pair of wireless that I’ve owned. They do seem to fall out of my ears more than I would like. Sound is very good quality. Very simple to use. I don’t know how bit it seems like you could make them to where they would not fall out as easy as they do.,1
181,2102,5,Airpodss,2023-03-24 23:17:00,1 month,Very nice. They are convent. They charge quick and you can hear well,1
182,2102,5,Gabis AirPods,2021-08-15 08:33:00,3 weeks,Great price so far good quality. My daughter loves them as they are a gift for her.,1
183,2102,5,Excellent sound quality,2020-12-26 16:20:00,3 weeks,"always a fan of apple product. though planned for Airpods pro, this one is not bad for the price. Excellent sound quality",1
184,2102,5,Best gift,2021-09-05 07:57:00,1 month,Bought as a gift. My cousin like it and fits well in the ears with good sounds.,1
185,2102,5,"Stay in my ears, comfortable, great sound!",2019-10-11 18:17:00,1 month,These are perfect for going to the gym or just walking to class. They connect to my phone and computer very easily. The battery also lasts a long time and they charge quickly,1
186,2102,5,Our grandson loves his Airpods!!,2019-09-21 08:53:00,Not Available,This was a birthday gift to our 16 year old grandson he loves his Air pods. They work great!! Great quality. Great charging case and carrying case that came with the Air pods!!,1
187,2102,5,AirPods,2023-01-27 22:23:00,3 weeks,"Great price and great offers that come with it. Free Apple Music, Apple TV, and Apple News for some months.",1
188,2102,5,A++++++++ transaction,2020-12-25 16:14:00,1 month,"Best price in Phoenix, have had no issues with them, quality sound as only Apple can accommodate. Will definitely be back",1
189,2102,5,AirPods,2022-01-14 20:58:00,2 months,"Good quality, good sound and  the price 
excellent!!",1
190,2102,5,My new airpods.,2022-01-14 20:48:00,2 months,Great price overall. Good sound quality as expected.,1
191,2102,5,Nice,2021-12-08 09:48:00,1 year,Good sound and quality easy to use and feel great in the ear,1
192,2102,5,great air-buds for those who work out,2020-05-16 06:56:00,Not Available,Paired easily with my iWatch and iPhone. Makes going for jogs/walks easier because i can leave my phone at home. Comfortable to wear and charges fast!,1
193,2102,5,Apple earbuds,2021-02-27 11:49:00,7 months,Great buds for the price. Comfortable and sound quality is great.  Very pleased with my purchase of these buds.,1
194,2102,5,Best so far,2020-07-03 17:33:00,3 weeks,"I read some reviews before I purchased, now I’m leaving one here. The best I have ever had. Long lasting battery life and quality sound effects.",1
195,2102,5,So comfy. Perhaps even too comfy,2021-04-30 18:44:00,1 month,"Let me start this review with the fact that I am not an Apple loyalist AT ALL.
I bought these because they do not have noise cancellation (so I can use them at work) and you know what? They had no business being this comfortable. They're like fluffy bunny slippers for your ears. Now I know why people just wear them all day.
The sound quality is great and they connect to my iPad in a snap. They can even be worn one at a time if you want.",1
196,2102,5,airpods,2022-12-17 15:55:00,1 month,"quick service, great price 
 Nothing else to write ???????????????????????????????????????????????????????????????????????????????????",1
197,2102,5,Best Airpods,2019-08-23 16:06:00,less than 1 week,Bought two of these and I’m happy to say they are the best wireless earphones. The charge lasts really long and they are so worth the money. Easy to connect and work wonderful. I,1
198,2102,5,Great all-around earbuds,2021-01-24 18:32:00,3 months,Great fit and sound quality. Integration with apple devices is seamless. It even works with other non apple devices.,1
199,2102,5,Have always been amazing,2022-11-05 10:31:00,1.5 years,I love these things. I use them literally every day. I bought a pair for my wife and she uses them every day too. (They really make great gifts for your spouse).,1
200,222,4,Decent,2023-06-23 16:59:00,1 month,"Clear sounding quick and easy to connect, but could have a deeper bass sound and be louder.",1
201,222,5,Airpods,2023-04-30 14:52:00,1.5 years,Works every time I opened them. Everything brand new,1
202,222,5,Love them,2023-04-30 12:58:00,1 month,You can never go wrong with AirPods they are amazing,1
203,222,5,Airpods,2023-04-22 10:51:00,1 month,My daughter loves these she never leaves home without them,1
